Country,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
OECD Total,9835,10263,10800,10580,10248,10818,11059,11204,11478,11146,10887,10548,10460,10808,10913,10904,11173,11494,11657,11663,11713,11738,11826,12018,12177,12566,12838,12850,12899,13216,13239,13142,13371,13498,13544,13479,13647,13329,12594,13121,12904,12745,12823,12606,12547,12456,12441,12512,12180,11085
Non-OECD Total,5781,6047,6416,6617,7006,7422,7762,8114,8409,8464,8354,8555,8737,9046,9220,9568,9955,10335,10610,10983,11074,10894,10949,10832,11306,11417,11539,11667,11708,12185,12559,12935,13912,15000,16001,16934,17814,18370,18669,19997,21183,21788,22336,22626,22483,22536,23055,23857,24100,23446
Region/Country/Economy,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Canada,366,385,404,413,404,415,428,429,446,452,431,414,407,426,427,419,431,463,478,445,441,456,453,469,481,496,512,521,531,552,545,563,584,577,589,583,615,593,563,580,595,592,604,613,610,611,626,640,626,573
Chile,22,22,21,21,18,19,20,20,22,23,23,20,20,22,22,22,22,27,32,31,30,31,33,36,40,46,52,53,56,52,50,50,51,56,57,58,65,69,67,71,78,80,85,78,83,88,89,88,94,86
Colombia,32,33,34,36,34,36,37,38,39,40,40,41,44,44,46,47,50,51,53,55,56,58,61,62,66,66,72,73,65,67,67,64,64,64,64,65,66,68,72,74,81,82,91,93,93,95,87,91,91,88
Costa Rica,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Mexico,118,131,143,156,164,175,183,212,219,248,275,289,276,281,289,283,295,291,305,300,320,322,331,356,339,356,379,401,390,414,415,423,445,455,472,487,493,495,482,497,512,520,510,495,500,502,496,465,473,401
United States,4604,4848,5011,4846,4652,4919,5088,5080,5127,4920,4853,4628,4587,4800,4823,4782,4948,5168,5234,5135,5097,5170,5279,5358,5411,5570,5842,5888,5901,6070,6042,5881,5946,6025,6042,5945,6037,5870,5473,5726,5524,5316,5463,5501,5387,5271,5209,5407,5287,4744
OECD Americas,5143,5421,5615,5473,5273,5566,5757,5782,5854,5685,5624,5393,5335,5574,5609,5555,5748,6002,6104,5969,5947,6042,6162,6287,6342,6539,6860,6940,6946,7159,7124,6987,7096,7182,7231,7144,7284,7101,6663,6955,6797,6597,6760,6786,6681,6574,6514,6699,6577,5900
Australia,153,159,169,184,192,194,209,204,212,221,223,230,220,227,241,243,255,263,278,284,287,292,297,304,316,326,336,357,363,372,380,388,388,402,406,412,424,428,435,442,438,441,437,432,441,450,454,453,456,439
Israel,14,15,16,16,17,17,18,19,19,19,20,21,22,23,25,27,29,31,32,33,34,36,39,42,45,48,50,50,51,55,57,60,62,62,60,63,65,65,65,69,69,75,66,64,65,64,65,61,63,59
Japan,762,799,909,896,859,886,911,906,928,881,857,830,836,897,877,877,882,948,976,1063,1075,1085,1078,1131,1142,1155,1146,1108,1147,1163,1151,1188,1196,1190,1198,1176,1212,1145,1091,1147,1204,1244,1256,1206,1167,1154,1139,1099,1062,1003
Korea,56,58,72,75,82,90,103,112,126,130,136,136,144,157,162,168,175,199,209,238,261,281,307,332,361,386,407,348,382,427,436,439,441,465,463,470,483,495,508,557,581,582,582,570,589,596,607,613,595,554
New Zealand,14,16,17,18,17,19,20,19,17,17,17,19,19,20,20,19,20,22,22,23,24,25,25,25,25,27,29,28,30,31,33,33,35,34,35,35,34,35,32,32,32,33,33,33,33,32,34,34,35,32
OECD Asia Oceania,998,1047,1182,1189,1166,1207,1261,1260,1302,1268,1253,1236,1241,1324,1324,1335,1362,1462,1517,1642,1681,1719,1747,1834,1889,1941,1967,1891,1974,2048,2057,2108,2121,2153,2162,2156,2219,2168,2131,2249,2323,2376,2374,2304,2296,2296,2300,2260,2210,2087
Austria,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
