Country,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
OECD Total,10.16,10.49,10.93,10.59,10.14,10.62,10.75,10.77,10.92,10.48,10.12,9.71,9.56,9.79,9.82,9.72,9.87,10.08,10.14,9.98,9.93,9.86,9.86,9.94,9.99,10.24,10.38,10.32,10.29,10.48,10.42,10.27,10.38,10.41,10.37,10.24,10.28,9.95,9.31,9.63,9.39,9.2,9.19,8.95,8.85,8.75,8.67,8.64,8.31,7.52
Non-OECD Total,1.43,1.48,1.54,1.57,1.67,1.72,1.78,1.86,1.9,1.91,1.89,1.9,1.91,1.94,1.94,1.97,2.03,2.06,2.07,2.11,2.09,2.02,2,1.94,2,1.98,1.97,1.97,1.95,1.99,2.04,2.09,2.21,2.37,2.51,2.64,2.76,2.82,2.84,3.03,3.18,3.24,3.28,3.29,3.23,3.2,3.24,3.32,3.32,3.2
Region/Country/Economy,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Canada,15.49,16.11,16.7,16.9,16.3,16.6,16.93,16.82,17.24,17.22,16.23,15.36,14.94,15.4,15.24,14.78,15,15.93,16.21,14.78,14.4,14.68,14.42,14.79,14.97,15.29,15.63,15.73,15.91,16.41,15.99,16.41,16.88,16.47,16.71,16.26,17.03,16.24,15.24,15.48,15.69,15.48,15.59,15.57,15.38,15.18,15.29,15.38,14.81,13.36
Chile,2.16,2.08,1.99,1.92,1.64,1.69,1.74,1.78,1.87,1.92,1.88,1.59,1.62,1.7,1.62,1.64,1.64,1.95,2.32,2.23,2.11,2.14,2.23,2.4,2.58,2.94,3.34,3.34,3.46,3.16,3,3.01,3.05,3.32,3.34,3.39,3.8,3.97,3.79,4.02,4.37,4.43,4.65,4.24,4.51,4.69,4.68,4.57,4.76,4.31
Colombia,1.21,1.21,1.25,1.31,1.17,1.22,1.23,1.28,1.27,1.29,1.27,1.26,1.3,1.29,1.32,1.31,1.36,1.35,1.38,1.4,1.42,1.45,1.5,1.47,1.51,1.48,1.58,1.56,1.34,1.39,1.39,1.32,1.28,1.27,1.28,1.27,1.28,1.28,1.33,1.34,1.43,1.4,1.56,1.59,1.58,1.63,1.45,1.51,1.49,1.48
Costa Rica,0.69,0.76,0.84,0.8,0.86,0.86,1.07,1.11,1.08,0.93,0.85,0.69,0.69,0.71,0.73,0.75,0.79,0.8,0.89,0.86,0.89,1.21,1.18,1.33,1.29,1.19,1.13,1.23,1.21,1.16,1.24,1.25,1.31,1.28,1.29,1.4,1.54,1.52,1.43,1.45,1.5,1.48,1.53,1.52,1.43,1.54,1.55,1.53,1.48,1.29
Mexico,1.75,1.93,2.06,2.18,2.21,2.32,2.39,2.57,2.69,2.91,3.05,3.12,2.97,3.01,3.06,2.98,3.04,2.97,3.07,2.95,3.1,3.08,3.12,3.32,3.08,3.18,3.32,3.51,3.37,3.57,3.53,3.56,3.69,3.74,3.85,3.94,3.95,3.91,3.77,3.86,3.95,3.93,3.8,3.63,3.66,3.65,3.62,3.34,3.37,2.76
United States,20.65,21.57,22.13,21.23,20.17,21.17,21.71,21.43,21.33,20.18,19.71,18.61,18.33,18.98,18.93,18.61,19.08,19.76,19.83,19.2,18.8,18.83,19.03,19.07,19.03,19.39,20.15,20.08,19.92,20.29,19.99,19.26,19.31,19.4,19.27,18.75,18.85,18.1,16.67,17.28,16.44,15.6,15.93,15.84,15.36,14.97,14.64,15.02,14.44,12.9
OECD Americas,15.07,15.67,16.03,15.41,14.61,15.23,15.55,15.35,15.28,14.55,14.17,13.38,13.11,13.51,13.44,13.15,13.43,13.86,13.92,13.39,13.13,13.16,13.26,13.34,13.27,13.52,14.04,14.04,13.9,14.18,13.96,13.54,13.61,13.65,13.61,13.28,13.4,12.89,11.93,12.32,11.86,11.34,11.52,11.41,11.12,10.88,10.66,10.81,10.44,9.28
Australia,10.86,11.07,11.59,12.48,12.85,12.89,13.72,13.24,13.52,13.96,13.9,14.07,13.11,13.35,13.94,13.83,14.25,14.57,15.12,15.21,15.1,15.16,15.25,15.44,15.85,16.2,16.45,17.34,17.48,17.59,17.69,17.9,17.66,18.15,18.05,18.07,18.23,18.02,17.95,17.78,17.45,17.18,16.58,15.93,15.97,16.14,15.97,15.67,15.35,14.57
Israel,4.52,4.48,4.78,4.69,4.75,4.67,4.81,5.03,5.02,4.86,4.97,5.21,5.3,5.45,5.74,6.22,6.64,6.91,7.07,7.04,6.73,6.94,7.42,7.75,8.09,8.27,8.44,8.25,8.26,8.7,8.69,8.99,9.09,8.95,8.45,8.75,8.9,8.77,8.54,8.98,8.7,9.33,8.04,7.6,7.64,7.4,7.34,6.72,6.77,6.23
Japan,7.15,7.41,8.25,8.03,7.6,7.76,7.9,7.78,7.9,7.44,7.18,6.91,6.91,7.37,7.16,7.12,7.13,7.63,7.83,8.51,8.57,8.62,8.54,8.94,9,9.09,8.99,8.67,8.96,9.06,8.95,9.22,9.26,9.21,9.26,9.08,9.36,8.83,8.41,8.85,9.3,9.63,9.74,9.36,9.07,8.97,8.87,8.58,8.31,7.87
Korea,1.61,1.64,2,2.07,2.2,2.41,2.71,2.91,3.23,3.3,3.39,3.34,3.49,3.75,3.82,3.93,4.05,4.57,4.79,5.41,5.91,6.31,6.85,7.34,7.92,8.38,8.76,7.43,8.11,8.99,9.1,9.11,9.1,9.56,9.5,9.59,9.81,9.97,10.18,11.12,11.49,11.46,11.39,11.09,11.41,11.5,11.68,11.73,11.36,10.56
New Zealand,4.71,5.31,5.62,5.74,5.32,5.83,5.98,5.82,5.21,5.24,5.15,5.64,5.6,5.66,5.78,5.45,5.78,6.15,6.15,6.45,6.29,6.72,6.53,6.53,6.45,6.64,7.15,6.98,7.31,7.48,7.97,7.8,8.12,7.89,8.11,8.03,7.68,7.82,7.05,6.97,6.75,7.11,6.98,6.87,6.77,6.43,6.67,6.46,6.66,6.04
OECD Asia Oceania,6.21,6.41,7.1,7.04,6.8,6.95,7.18,7.1,7.26,7,6.84,6.67,6.63,7.01,6.94,6.94,7.03,7.52,7.75,8.34,8.47,8.61,8.69,9.09,9.3,9.51,9.57,9.14,9.5,9.8,9.78,9.98,10,10.12,10.12,10.05,10.3,10,9.78,10.28,10.6,10.81,10.75,10.37,10.28,10.26,10.24,10.02,9.75,9.19
Austria,6.48,6.68,7.09,6.73,6.53,7.13,6.78,7.1,7.41,7.2,6.81,6.57,6.53,6.74,6.96,6.82,6.92,6.64,6.61,7.33,7.79,7.09,7.05,7.08,7.49,7.95,7.84,7.91,7.69,7.72,8.23,8.37,8.96,9.06,9.05,8.73,8.33,8.24,7.51,8.17,7.94,7.53,7.56,7.07,7.13,7.09,7.3,6.94,7.07,6.43
Belgium,12.21,13.2,13.68,13.42,11.81,12.72,12.58,13.12,13.47,12.77,11.69,11.04,10.14,10.34,10.25,10.27,10.27,10.4,10.5,10.68,11.1,10.87,10.61,11.04,10.98,11.46,11.15,11.39,10.99,11.12,11.22,10.44,10.85,10.61,10.31,9.95,9.49,9.68,9,9.57,8.49,8.34,8.43,7.83,8.23,8.1,7.94,7.96,7.85,7.17
Czech Republic,15.61,15.45,15.05,14.87,15.4,15.78,16.62,16.51,17.33,16.63,16.74,17.02,17.12,17.36,17.34,17.32,17.37,17.03,16.32,14.78,13.56,13.02,12.47,11.9,11.86,12.25,12.03,11.43,10.74,11.95,12,11.65,11.95,11.97,11.75,11.77,11.86,11.19,10.65,10.72,10.44,10.07,9.66,9.36,9.45,9.59,9.62,9.49,8.97,8.13
Denmark,11.17,11.5,11.2,9.91,10.4,11.49,11.78,11.67,12.33,12.31,10.32,10.76,10.11,10.43,11.94,12.03,11.67,10.91,9.78,9.92,11.88,10.7,11.12,11.84,11.17,13.62,11.72,10.93,10.3,9.52,9.78,9.69,10.67,9.59,8.95,10.37,9.46,8.86,8.5,8.52,7.55,6.65,6.93,6.15,5.73,5.93,5.51,5.48,4.87,4.45
Estonia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21.77,20.18,14.64,11.98,12.43,11.15,12.01,12.42,11.5,10.97,10.39,10.66,10.43,11.89,12,12.09,11.6,14.27,12.62,10.32,13.65,13.6,12.51,13.98,13.05,10.79,11.95,12.51,11.69,7.37,5.33
Finland,8.64,9.4,10.27,9.42,9.38,10.67,10.56,11.5,11.36,11.48,9.49,9.13,8.77,9,9.85,9.85,10.58,10.41,10.38,10.8,10.88,10.28,10.48,11.71,10.91,12.14,11.71,11.02,10.85,10.55,11.68,12.1,13.67,12.85,10.47,12.62,12.2,10.55,10.08,11.56,10.13,9.03,9.14,8.36,7.73,8.22,7.7,7.94,7.32,6.47
France,8.07,8.29,8.9,8.51,7.85,8.55,8.25,8.56,8.65,8.25,7.34,6.98,6.67,6.41,6.21,6,5.85,5.79,6.03,5.93,6.33,6.11,5.77,5.66,5.77,6.02,5.86,6.19,6.06,5.99,6,5.87,5.92,5.88,5.88,5.7,5.52,5.43,5.2,5.23,5.01,5.04,5.02,4.51,4.57,4.6,4.64,4.45,4.34,3.84
Germany,12.49,12.72,13.33,12.99,12.37,13.14,12.97,13.47,14.07,13.39,12.96,12.44,12.49,12.79,12.93,12.96,12.83,12.67,12.28,11.84,11.47,10.9,10.77,10.59,10.54,10.89,10.49,10.4,10.01,9.97,10.2,10.03,10.06,9.88,9.68,9.84,9.47,9.58,8.95,9.45,9.11,9.27,9.47,8.93,8.93,8.92,8.7,8.38,7.77,7.1
Greece,2.81,3.22,3.74,3.56,3.73,4.19,4.27,4.48,4.65,4.64,4.54,4.65,4.94,5.08,5.43,5.4,5.92,6.29,6.75,6.81,6.77,6.93,6.89,7.01,7.24,7.2,7.26,7.53,7.53,8.14,8.29,8.28,8.59,8.53,8.66,8.54,8.86,8.52,8.12,7.5,7.4,6.97,6.28,6.03,5.97,5.85,5.87,5.74,5.28,4.48
Hungary,5.81,5.97,6.37,6.57,6.66,6.93,7.23,7.95,7.8,7.72,7.64,7.68,7.36,7.58,7.54,7.43,7.54,7.13,7.02,6.34,6.13,5.54,5.57,5.52,5.45,5.56,5.42,5.47,5.54,5.22,5.39,5.33,5.61,5.45,5.43,5.38,5.22,5.16,4.68,4.72,4.65,4.31,4.07,4.06,4.34,4.44,4.97,4.94,4.73,4.5
Iceland,6.82,7.17,7.86,7.73,7.4,7.23,7.36,7.85,8.08,7.66,7.52,6.68,6.73,7.09,6.76,7,7.09,7.31,7.21,7.44,7.23,7.28,7.37,7.72,7.36,8.28,7.78,7.67,7.42,7.69,7.39,7.66,7.59,7.71,7.46,7.4,7.46,6.65,6.52,6.13,5.86,5.79,6.27,6.26,6.22,4.88,4.87,4.81,4.54,3.94
Ireland,7.27,7.08,6.78,7.24,6.66,6.78,7.18,7,8.03,7.61,7.47,7.26,7.17,7.06,7.47,7.75,8.22,7.96,8.33,8.58,8.7,8.65,8.65,8.91,9.04,9.33,9.51,10.06,10.34,10.73,11.12,10.7,10.5,10.42,10.65,10.52,10.05,9.74,8.65,8.61,7.76,7.8,7.48,7.33,7.55,7.84,7.47,7.32,6.88,6.42
Italy,5.35,5.64,5.99,6.01,5.72,6.14,5.94,6.02,6.28,6.3,6.12,6.03,5.95,6.05,6.04,6.07,6.41,6.48,6.79,6.87,6.84,6.79,6.74,6.66,7.06,7,7.05,7.24,7.34,7.38,7.37,7.48,7.76,7.87,7.85,7.69,7.51,7.24,6.44,6.55,6.4,6.09,5.6,5.29,5.47,5.42,5.36,5.3,5.18,4.61
Latvia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.05,6.49,5.29,4.58,4.03,3.58,3.62,3.46,3.33,3.1,2.89,3.1,3.13,3.26,3.31,3.39,3.62,3.8,3.65,3.36,3.86,3.57,3.44,3.43,3.37,3.46,3.47,3.44,3.76,3.66,3.36
Lithuania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.72,9.26,5.2,4.18,3.95,3.7,3.87,3.79,4.03,3.38,2.92,3.13,3.18,3.2,3.42,3.75,3.82,3.93,3.94,3.61,3.98,3.81,3.86,3.68,3.57,3.63,3.75,3.81,3.98,3.99,3.99
Luxembourg,48.16,46.45,49.71,45.1,35.49,37.79,35.79,39.12,36.54,34.2,28.87,27,25.25,27.62,28.16,27.22,25.41,26.4,28.15,28.13,29.04,27.85,28.17,25.55,20.06,20.07,18.57,16.76,17.3,18.46,19.66,20.97,21.8,24.47,24.66,23.89,22.25,21.76,20.25,20.98,20.27,19.39,17.99,16.64,15.47,14.55,14.47,14.7,14.64,11.81
Netherlands,9.68,10.69,11.05,10.35,9.66,10.22,10,10.26,10.91,10.28,10.06,9.43,9.08,9.38,9.55,9.71,9.91,9.71,9.86,10.1,10.39,10.23,10.43,10.34,10.58,11.15,10.63,10.59,10.18,10.15,10.38,10.34,10.47,10.54,10.26,9.99,10.02,10.02,9.68,10.28,9.49,9.38,9.33,8.87,9.28,9.29,9.07,8.77,8.41,7.47
Norway,5.89,5.99,5.9,5.7,5.89,6.3,6.58,6.67,7.07,6.67,6.21,5.91,5.91,6.05,6.36,7.13,6.59,6.59,6.41,6.48,6.09,6.73,7.08,7.41,7.21,7.39,7.75,8.07,8.34,7.1,7.29,7.17,7.69,7.76,7.47,7.62,7.66,7.42,7.4,7.92,7.61,7.45,7.49,7.44,7.5,7.29,7.2,7.06,6.84,6.53
Poland,8.76,9.06,9.37,9.65,9.96,10.55,10.81,11.43,11.52,11.69,10.75,10.82,10.78,11.1,11.35,11.43,11.78,11.43,10.9,9.07,9.09,8.85,8.87,8.71,8.71,9.12,8.82,8.15,7.91,7.57,7.55,7.39,7.68,7.77,7.76,8.08,8.04,7.91,7.57,7.98,7.87,7.71,7.6,7.26,7.35,7.63,7.96,7.92,7.48,7.08
Portugal,1.65,1.67,1.86,1.87,1.96,2.05,1.96,2.05,2.24,2.41,2.5,2.54,2.6,2.48,2.37,2.7,2.75,2.87,3.7,3.79,3.96,4.38,4.27,4.4,4.71,4.51,4.69,5.12,5.71,5.62,5.57,5.92,5.44,5.54,5.85,5.37,5.18,5,5.02,4.5,4.46,4.34,4.18,4.12,4.53,4.49,4.93,4.59,4.12,3.56
